0.00E+00;-1.98E-06
4.00E-02;-1.96E-06
4.00E-02;-1.94E-06
0.00E+00;-1.92E-06
4.00E-02;-1.90E-06
0.00E+00;-1.88E-06
0.00E+00;-1.86E-06
4.00E-02;-1.84E-06
0.00E+00;-1.82E-06
0.00E+00;-1.80E-06
0.00E+00;-1.78E-06
4.00E-02;-1.76E-06
0.00E+00;-1.74E-06
0.00E+00;-1.72E-06
0.00E+00;-1.70E-06
4.00E-02;-1.68E-06
0.00E+00;-1.66E-06
0.00E+00;-1.64E-06
0.00E+00;-1.62E-06
0.00E+00;-1.60E-06
4.00E-02;-1.58E-06
0.00E+00;-1.56E-06
4.00E-02;-1.54E-06
0.00E+00;-1.52E-06
0.00E+00;-1.50E-06
0.00E+00;-1.48E-06
0.00E+00;-1.46E-06
4.00E-02;-1.44E-06
4.00E-02;-1.42E-06
4.00E-02;-1.40E-06
0.00E+00;-1.38E-06
4.00E-02;-1.36E-06
0.00E+00;-1.34E-06
0.00E+00;-1.32E-06
0.00E+00;-1.30E-06
0.00E+00;-1.28E-06
0.00E+00;-1.26E-06
4.00E-02;-1.24E-06
4.00E-02;-1.22E-06
0.00E+00;-1.20E-06
4.00E-02;-1.18E-06
0.00E+00;-1.16E-06
4.00E-02;-1.14E-06
4.00E-02;-1.12E-06
0.00E+00;-1.10E-06
0.00E+00;-1.08E-06
4.00E-02;-1.06E-06
0.00E+00;-1.04E-06
4.00E-02;-1.02E-06
4.00E-02;-1.00E-06
4.00E-02;-9.80E-07
0.00E+00;-9.60E-07
0.00E+00;-9.40E-07
4.00E-02;-9.20E-07
0.00E+00;-9.00E-07
0.00E+00;-8.80E-07
4.00E-02;-8.60E-07
4.00E-02;-8.40E-07
4.00E-02;-8.20E-07
0.00E+00;-8.00E-07
4.00E-02;-7.80E-07
4.00E-02;-7.60E-07
0.00E+00;-7.40E-07
0.00E+00;-7.20E-07
0.00E+00;-7.00E-07
4.00E-02;-6.80E-07
0.00E+00;-6.60E-07
4.00E-02;-6.40E-07
4.00E-02;-6.20E-07
4.00E-02;-6.00E-07
4.00E-02;-5.80E-07
0.00E+00;-5.60E-07
4.00E-02;-5.40E-07
0.00E+00;-5.20E-07
0.00E+00;-5.00E-07
0.00E+00;-4.80E-07
0.00E+00;-4.60E-07
4.00E-02;-4.40E-07
4.00E-02;-4.20E-07
0.00E+00;-4.00E-07
4.00E-02;-3.80E-07
4.00E-02;-3.60E-07
0.00E+00;-3.40E-07
4.00E-02;-3.20E-07
0.00E+00;-3.00E-07
4.00E-02;-2.80E-07
0.00E+00;-2.60E-07
0.00E+00;-2.40E-07
0.00E+00;-2.20E-07
0.00E+00;-2.00E-07
0.00E+00;-1.80E-07
0.00E+00;-1.60E-07
0.00E+00;-1.40E-07
0.00E+00;-1.20E-07
0.00E+00;-1.00E-07
0.00E+00;-8.00E-08
4.00E-02;-6.00E-08
0.00E+00;-4.00E-08
0.00E+00;-2.00E-08
0.00E+00;0.00E+00
2.36E+00;2.00E-08
2.24E+00;4.00E-08
2.56E+00;6.00E-08
2.76E+00;8.00E-08
2.84E+00;1.00E-07
2.60E+00;1.20E-07
2.40E+00;1.40E-07
2.44E+00;1.60E-07
2.36E+00;1.80E-07
2.36E+00;2.00E-07
2.36E+00;2.20E-07
2.20E+00;2.40E-07
2.20E+00;2.60E-07
1.84E+00;2.80E-07
2.16E+00;3.00E-07
2.08E+00;3.20E-07
1.96E+00;3.40E-07
1.80E+00;3.60E-07
1.72E+00;3.80E-07
1.64E+00;4.00E-07
1.56E+00;4.20E-07
